timestamp,frame_idx,class_id,class_name,conf,x,y,w,h
2025-11-26T17:07:28.112650,2,2,Car,0.7279,440,181,190,246
2025-11-26T17:07:28.410300,3,2,Car,0.8170,428,160,173,266
2025-11-26T17:07:29.004066,5,2,Car,0.7941,499,77,139,150
2025-11-26T17:07:29.594423,7,2,Car,0.5042,484,0,152,116
2025-11-26T17:07:29.873800,8,2,Car,0.3310,473,0,167,162
2025-11-26T17:07:30.180664,9,0,Ambulance,0.3164,496,0,144,236
2025-11-26T17:07:30.451463,10,1,Bus,0.4491,442,19,198,248
2025-11-26T17:07:30.751947,11,0,Ambulance,0.8104,439,112,199,196
2025-11-26T17:07:31.042072,12,0,Ambulance,0.7483,440,165,198,167
2025-11-26T17:07:31.627042,14,2,Car,0.3413,556,192,82,166
2025-11-26T17:07:31.936694,15,2,Car,0.5071,565,196,75,151
2025-11-26T17:07:32.509941,17,2,Car,0.7932,518,213,119,147
2025-11-26T17:07:33.142974,19,0,Ambulance,0.4511,582,222,58,129
2025-11-26T17:07:33.432381,20,2,Car,0.3455,408,24,232,456
2025-11-26T17:07:35.191359,26,2,Car,0.2676,0,0,598,465
2025-11-26T17:07:36.979680,32,0,Ambulance,0.6897,300,210,177,157
2025-11-26T17:07:37.241649,33,2,Car,0.5978,317,200,189,165
2025-11-26T17:07:37.516856,34,0,Ambulance,0.4243,338,193,189,162
2025-11-26T17:07:37.837716,35,0,Ambulance,0.6428,344,199,188,153
2025-11-26T17:07:38.141531,36,0,Ambulance,0.5745,348,200,187,157
2025-11-26T17:07:38.404585,37,0,Ambulance,0.4658,349,198,188,160
2025-11-26T17:07:38.695585,38,0,Ambulance,0.4232,357,197,190,158
2025-11-26T17:07:38.996874,39,0,Ambulance,0.5723,363,197,189,157
2025-11-26T17:07:39.303433,40,0,Ambulance,0.5022,374,200,190,151
2025-11-26T17:07:39.666268,41,0,Ambulance,0.4637,377,198,190,155
2025-11-26T17:07:40.103164,42,0,Ambulance,0.4045,381,194,187,159
2025-11-26T17:07:41.077391,44,0,Ambulance,0.2612,389,201,182,149
2025-11-26T17:07:41.514614,45,0,Ambulance,0.4071,388,195,191,154
2025-11-26T17:07:41.967511,46,2,Car,0.6255,359,40,174,310
